category,description,category_full_link,service_app_common_name,service_app_link,service_common_name,service_name,service_link,service_description
Adalet,"Davalarınız ve diğer adli dosyalarınız ile ilgili işlem yapın, dosya detaylarına ulaşın.",https://www.turkiye.gov.tr/adalet-hizmetleri,Adalet Bakanlığı,https://www.turkiye.gov.tr/adalet-bakanligi,Adli Sicil ve İstatistik Genel Müdürlüğü Hizmetleri,Adli Sicil Kaydı Sorgulama,https://www.turkiye.gov.tr/adli-sicil-kaydi,"Bu hizmeti kullanarak Adalet Bakanlığı tarafından verilen adli sicil kaydı bilgilerinize erişebilirsiniz, bilgilerinizin bir kopyasını alabilir ve işlemlerinizde kullanabilirsiniz."
Adalet,"Davalarınız ve diğer adli dosyalarınız ile ilgili işlem yapın, dosya detaylarına ulaşın.",https://www.turkiye.gov.tr/adalet-hizmetleri,Adalet Bakanlığı,https://www.turkiye.gov.tr/adalet-bakanligi,Adli Sicil ve İstatistik Genel Müdürlüğü Hizmetleri,Adli Sicil Kaydı Doğrulama,https://www.turkiye.gov.tr/belge-dogrulama,"Adli Sicil Kaydı Doğrulama hizmetini kullanarak e-Devlet Kapısından almış olduğunuz Adli Sicil Kaydınızın doğruluğunu,belgenizi teslim ettiğiniz makam barkod kontrolü aracılığıyla kontrol edebilir."
Adalet,"Davalarınız ve diğer adli dosyalarınız ile ilgili işlem yapın, dosya detaylarına ulaşın.",https://www.turkiye.gov.tr/adalet-hizmetleri,Adalet Bakanlığı,https://www.turkiye.gov.tr/adalet-bakanligi,Adli Sicil ve İstatistik Genel Müdürlüğü Hizmetleri,Adli Sicil Silme ve Düzeltme Talebi,https://www.turkiye.gov.tr/adalet-adli-sicil-silme-ve-duzeltme-talebi,"Bu hizmeti kullanarak, Adalet Bakanlığı Adli Sicil ve İstatistik Genel Müdürlüğünün merkez veri tabanındaki adli sicil kayıtlarınızın düzeltilmesini, arşive alınmasını ve silinmesini talep edebilirsiniz."
Adalet,"Davalarınız ve diğer adli dosyalarınız ile ilgili işlem yapın, dosya detaylarına ulaşın.",https://www.turkiye.gov.tr/adalet-hizmetleri,Adalet Bakanlığı,https://www.turkiye.gov.tr/adalet-bakanligi,Bilgi İşlem Genel Müdürlüğü (UYAP) Hizmetleri,Dava Dosyası Sorgulama,https://www.turkiye.gov.tr/davalarim,UYAP sisteminde kayıtlı davalarınız varsa bu davaların bilgilerini ve dava dosyalarının içeriklerini sorgulayabilirsiniz.
Adalet,"Davalarınız ve diğer adli dosyalarınız ile ilgili işlem yapın, dosya detaylarına ulaşın.",https://www.turkiye.gov.tr/adalet-hizmetleri,Adalet Bakanlığı,https://www.turkiye.gov.tr/adalet-bakanligi,Bilgi İşlem Genel Müdürlüğü (UYAP) Hizmetleri,İcra Dosyası Sorgulama,https://www.turkiye.gov.tr/adalet-icra-dosyasi-sorgulama,Bu hizmet aracılığı ile yurt içi mahkemelerde adınıza açılmış ve taraf olduğunuz icra dosyalarını listeleyebilir ve detaylarını görüntüleyebilirsiniz.
Adalet,"Davalarınız ve diğer adli dosyalarınız ile ilgili işlem yapın, dosya detaylarına ulaşın.",https://www.turkiye.gov.tr/adalet-hizmetleri,Adalet Bakanlığı,https://www.turkiye.gov.tr/adalet-bakanligi,Bilgi İşlem Genel Müdürlüğü (UYAP) Hizmetleri,Kısıtlının Taraf Olduğu Hukuk Dava Dosyası Sorgulama (Vasisi Olduğunuz Kişi Adına),https://www.turkiye.gov.tr/adalet-kisitlinin-taraf-oldugu-hukuk-dava-dosyasi-sorgulama-vasisi-oldugunuz-kisi-adina,"Bu hizmet aracılığı ile nüfus kayıtlarında kısıtlı olarak görünen kişiye atanan vasi olarak, kısıtlının taraf olduğu hukuk dava dosyalarını sorgulayabilirsiniz."
Adalet,"Davalarınız ve diğer adli dosyalarınız ile ilgili işlem yapın, dosya detaylarına ulaşın.",https://www.turkiye.gov.tr/adalet-hizmetleri,Adalet Bakanlığı,https://www.turkiye.gov.tr/adalet-bakanligi,Bilgi İşlem Genel Müdürlüğü (UYAP) Hizmetleri,Kısıtlının Taraf Olduğu İdari Dava Dosyası Sorgulama (Vasisi Olduğunuz Kişi Adına),https://www.turkiye.gov.tr/adalet-kisitlinin-taraf-oldugu-idari-dava-dosyasi-sorgulama-vasisi-oldugunuz-kisi-adina,"Bu hizmet aracılığı ile nüfus kayıtlarında kısıtlı olarak görünen kişiye atanan vasi olarak, kısıtlının taraf olduğu idari dava dosyalarını sorgulayabilirsiniz."
Adalet,"Davalarınız ve diğer adli dosyalarınız ile ilgili işlem yapın, dosya detaylarına ulaşın.",https://www.turkiye.gov.tr/adalet-hizmetleri,Adalet Bakanlığı,https://www.turkiye.gov.tr/adalet-bakanligi,Bilgi İşlem Genel Müdürlüğü (UYAP) Hizmetleri,Kısıtlının Taraf Olduğu İcra Dosyası Sorgulama (Vasisi Olduğunuz Kişi Adına),https://www.turkiye.gov.tr/adalet-kisitlinin-taraf-oldugu-icra-dosyasi-sorgulama-vasisi-oldugunuz-kisi-adina,"Bu hizmet aracılığı ile nüfus kayıtlarında kısıtlı olarak görünen kişiye atanan vasi olarak, kısıtlının taraf olduğu icra dosyalarını sorgulayabilirsiniz."
Adalet,"Davalarınız ve diğer adli dosyalarınız ile ilgili işlem yapın, dosya detaylarına ulaşın.",https://www.turkiye.gov.tr/adalet-hizmetleri,Adalet Bakanlığı,https://www.turkiye.gov.tr/adalet-bakanligi,Bilgi İşlem Genel Müdürlüğü (UYAP) Hizmetleri,SMS Bilgi Sistemi Abonelik Başvurusu ve İptali,https://www.turkiye.gov.tr/adalet-sms-bilgi-sistemi-abonelik-basvurusu-ve-iptali,"Bu hizmeti kullanarak, UYAP SMS Bilgi Sistemi'ne abone olabilir ve mevcut aboneliğinizi iptal edebilirsiniz."
Adalet,"Davalarınız ve diğer adli dosyalarınız ile ilgili işlem yapın, dosya detaylarına ulaşın.",https://www.turkiye.gov.tr/adalet-hizmetleri,Adalet Bakanlığı,https://www.turkiye.gov.tr/adalet-bakanligi,Bilgi İşlem Genel Müdürlüğü (UYAP) Hizmetleri,Veraset İlamı Sorgulama,https://www.turkiye.gov.tr/adalet-veraset-ilami-sorgulama,Mirasçılık Belgesi ve İptallerine İlişkin Bilgilerin e-Devlet üzerinden verilmesi
